Year,시도,Value
2001,0.전국,5.3
2002,0.전국,7
2003,0.전국,3.7
2004,0.전국,4.6
2005,0.전국,4.6
2006,0.전국,5.4
2007,0.전국,5.8
2008,0.전국,2.7
2009,0.전국,1
2010,0.전국,7
2011,0.전국,3.6
2012,0.전국,2.3
2013,0.전국,3.1
2014,0.전국,3.1
2015,0.전국,2.8
2016,0.전국,2.9
2017,0.전국,3.1
2018,0.전국,2.9
2019,0.전국,2.2
2001,1.수도권,6.3
2002,1.수도권,7.9
2003,1.수도권,3.3
2004,1.수도권,3.5
2005,1.수도권,5.2
2006,1.수도권,6.1
2007,1.수도권,5.9
2008,1.수도권,3.1
2009,1.수도권,1.5
2010,1.수도권,6.7
2011,1.수도권,3.5
2012,1.수도권,3
2013,1.수도권,3.5
2014,1.수도권,3.2
2015,1.수도권,4
2016,1.수도권,3.7
2017,1.수도권,4.5
2018,1.수도권,4.5
2019,1.수도권,2.4
2001,2.서울특별시,4.3
2002,2.서울특별시,6.9
2003,2.서울특별시,1.8
2004,2.서울특별시,1.2
2005,2.서울특별시,4.3
2006,2.서울특별시,4.2
2007,2.서울특별시,5.9
2008,2.서울특별시,2.5
2009,2.서울특별시,1.5
2010,2.서울특별시,3.5
2011,2.서울특별시,3.2
2012,2.서울특별시,1.4
2013,2.서울특별시,1.6
2014,2.서울특별시,1.5
2015,2.서울특별시,2.9
2016,2.서울특별시,2.8
2017,2.서울특별시,2.3
2018,2.서울특별시,3.6
2019,2.서울특별시,2.6
2001,3.인천광역시,7.5
2002,3.인천광역시,10.2
2003,3.인천광역시,2.3
2004,3.인천광역시,5.4
2005,3.인천광역시,3.5
2006,3.인천광역시,4.6
2007,3.인천광역시,8.7
2008,3.인천광역시,-1
2009,3.인천광역시,-1.4
2010,3.인천광역시,9.7
2011,3.인천광역시,1.8
2012,3.인천광역시,3.7
2013,3.인천광역시,2.7
2014,3.인천광역시,4.8
2015,3.인천광역시,1.8
2016,3.인천광역시,2.6
2017,3.인천광역시,4.3
2018,3.인천광역시,0.7
2019,3.인천광역시,1.8
2001,4.경기도,8.9
2002,4.경기도,8.6
2003,4.경기도,5.7
2004,4.경기도,6.1
2005,4.경기도,6.7
2006,4.경기도,8.9
2007,4.경기도,5.3
2008,4.경기도,5
2009,4.경기도,2.1
2010,4.경기도,9.8
2011,4.경기도,4.3
2012,4.경기도,4.5
2013,4.경기도,5.7
2014,4.경기도,4.5
2015,4.경기도,5.5
2016,4.경기도,4.7
2017,4.경기도,6.6
2018,4.경기도,6
2019,4.경기도,2.3
